date,open,high,low,close,change_percent
2021-03-04,3818.53,3843.6699,3723.3401,3768.47,-1.34
2023-10-18,4357.3501,4364.2002,4303.8398,4314.6001,-1.34
1928-06-04,19.8,19.8,19.8,19.8,-1.35
1929-03-22,25.55,25.55,25.55,25.55,-1.35
1931-03-26,17.54,17.54,17.54,17.54,-1.35
1938-07-11,11.73,11.73,11.73,11.73,-1.35
1943-10-07,11.67,11.67,11.67,11.67,-1.35
1949-02-10,14.58,14.58,14.58,14.58,-1.35
1955-01-06,35.04,35.04,35.04,35.04,-1.35
1955-02-08,36.46,36.46,36.46,36.46,-1.35
1975-09-29,85.03,86.38,84.74,85.03,-1.35
1978-01-03,93.82,95.15,93.49,93.82,-1.35
1981-06-02,130.62,132.96,129.84,130.62,-1.35
1986-03-21,236.54,237.35,233.29,233.34,-1.35
1991-04-09,378.65,379.02,373.11,373.56,-1.35
1996-04-10,642.19,642.78,631.76,633.5,-1.35
2003-07-10,1002.21,1002.21,983.63,988.7,-1.35
2008-10-03,1115.16,1153.8199,1098.14,1099.23,-1.35
2010-06-07,1065.84,1071.36,1049.86,1050.47,-1.35
2015-01-28,2032.34,2042.49,2001.49,2002.16,-1.35
2015-08-25,1898.08,1948.04,1867.08,1867.61,-1.35
2023-08-24,4455.1602,4458.2998,4375.5498,4376.3101,-1.35
1931-08-12,13.8,13.8,13.8,13.8,-1.36
1934-12-03,9.41,9.41,9.41,9.41,-1.36
1935-09-16,11.64,11.64,11.64,11.64,-1.36
1945-03-20,13.82,13.82,13.82,13.82,-1.36
1945-08-07,14.52,14.52,14.52,14.52,-1.36
1947-05-19,13.77,13.77,13.77,13.77,-1.36
1951-02-19,21.83,21.83,21.83,21.83,-1.36
1955-08-01,42.93,42.93,42.93,42.93,-1.36
1969-06-11,99.05,100.71,99.02,99.05,-1.36
1970-06-11,74.45,75.52,73.96,74.45,-1.36
1975-01-30,76.21,78.69,75.82,76.21,-1.36
1975-09-30,83.87,85.01,83.44,83.87,-1.36
1984-06-11,155.17,155.17,153.0,153.06,-1.36
1989-02-10,296.06,296.06,291.96,292.02,-1.36
1991-05-14,375.51,375.53,370.82,371.62,-1.36
2004-01-28,1144.05,1149.14,1126.5,1128.48,-1.36
2006-11-27,1400.95,1400.95,1381.4399,1381.96,-1.36
2007-06-20,1533.6801,1537.3199,1512.36,1512.84,-1.36
2008-01-11,1419.91,1419.91,1394.83,1401.02,-1.36
1928-07-16,18.7,18.7,18.7,18.7,-1.37
1931-06-23,14.41,14.41,14.41,14.41,-1.37
1932-03-23,7.94,7.94,7.94,7.94,-1.37
1934-04-26,10.79,10.79,10.79,10.79,-1.37
1934-08-27,9.39,9.39,9.39,9.39,-1.37
1935-12-12,12.96,12.96,12.96,12.96,-1.37
1938-06-30,11.56,11.56,11.56,11.56,-1.37
1939-03-13,12.92,12.92,12.92,12.92,-1.37
1942-02-10,8.62,8.62,8.62,8.62,-1.37
1942-07-23,8.62,8.62,8.62,8.62,-1.37
1946-12-12,15.15,15.15,15.15,15.15,-1.37
1956-08-06,48.96,48.96,48.96,48.96,-1.37
1962-06-20,54.78,55.92,54.66,54.78,-1.37
1966-05-31,86.13,87.65,85.8,86.13,-1.37
1970-05-26,69.29,71.17,68.61,69.29,-1.37
1974-08-12,79.75,81.26,79.3,79.75,-1.37
1975-06-09,91.21,92.87,90.91,91.21,-1.37
1986-04-03,235.71,236.42,232.07,232.47,-1.37
1987-09-21,314.92,317.66,310.12,310.54,-1.37
1988-07-06,275.8,276.36,269.92,272.02,-1.37
